step,K,U,E
329,0.0366212077,-0.5088407980,-0.4722195903
330,0.0368672311,-0.5090868211,-0.4722195901
331,0.0371143175,-0.5093339073,-0.4722195898
332,0.0373624705,-0.5095820601,-0.4722195896
333,0.0376116937,-0.5098312831,-0.4722195894
334,0.0378619905,-0.5100815797,-0.4722195892
335,0.0381133646,-0.5103329536,-0.4722195889
336,0.0383658196,-0.5105854083,-0.4722195887
337,0.0386193590,-0.5108389474,-0.4722195885
338,0.0388739865,-0.5110935747,-0.4722195882
339,0.0391297058,-0.5113492938,-0.4722195880
340,0.0393865205,-0.5116061083,-0.4722195877
341,0.0396444344,-0.5118640219,-0.4722195875
342,0.0399034512,-0.5121230384,-0.4722195873
343,0.0401635746,-0.5123831616,-0.4722195870
344,0.0404248084,-0.5126443952,-0.4722195868
345,0.0406871565,-0.5129067430,-0.4722195865
346,0.0409506226,-0.5131702089,-0.4722195863
347,0.0412152106,-0.5134347966,-0.4722195860
348,0.0414809243,-0.5137005101,-0.4722195858
349,0.0417477677,-0.5139673532,-0.4722195855
350,0.0420157447,-0.5142353299,-0.4722195853
351,0.0422848591,-0.5145044441,-0.4722195850
352,0.0425551151,-0.5147746998,-0.4722195848
353,0.0428265165,-0.5150461010,-0.4722195845
354,0.0430990673,-0.5153186516,-0.4722195843
355,0.0433727718,-0.5155923557,-0.4722195840
356,0.0436476337,-0.5158672175,-0.4722195837
357,0.0439236574,-0.5161432409,-0.4722195835
358,0.0442008469,-0.5164204301,-0.4722195832
359,0.0444792063,-0.5166987892,-0.4722195829
360,0.0447587397,-0.5169783224,-0.4722195827
361,0.0450394515,-0.5172590339,-0.4722195824
362,0.0453213458,-0.5175409279,-0.4722195821
363,0.0456044268,-0.5178240087,-0.4722195818
364,0.0458886989,-0.5181082805,-0.4722195816
365,0.0461741663,-0.5183937475,-0.4722195813
366,0.0464608333,-0.5186804143,-0.4722195810
367,0.0467487043,-0.5189682850,-0.4722195807
368,0.0470377837,-0.5192573641,-0.4722195804
369,0.0473280758,-0.5195476560,-0.4722195801
370,0.0476195852,-0.5198391651,-0.4722195799
371,0.0479123162,-0.5201318958,-0.4722195796
372,0.0482062734,-0.5204258527,-0.4722195793
373,0.0485014613,-0.5207210403,-0.4722195790
374,0.0487978843,-0.5210174630,-0.4722195787
375,0.0490955472,-0.5213151256,-0.4722195784
376,0.0493944544,-0.5216140325,-0.4722195781
377,0.0496946107,-0.5219141885,-0.4722195778
378,0.0499960206,-0.5222155981,-0.4722195775
379,0.0502986889,-0.5225182661,-0.4722195772
380,0.0506026202,-0.5228221971,-0.4722195769
