step,K,U,E
223,8.4744862663,-9.4450660718,-0.9705798055
224,8.4788180159,-9.4493978956,-0.9705798796
225,8.4831602981,-9.4537402515,-0.9705799534
226,8.4875123619,-9.4580923887,-0.9705800268
227,8.4918734676,-9.4624535673,-0.9705800997
228,8.4962428874,-9.4668230594,-0.9705801720
229,8.5006199062,-9.4712001500,-0.9705802438
230,8.5050038227,-9.4755841376,-0.9705803149
231,8.5093939501,-9.4799743355,-0.9705803854
232,8.5137896173,-9.4843700724,-0.9705804551
233,8.5181901695,-9.4887706935,-0.9705805240
234,8.5225949693,-9.4931755613,-0.9705805920
235,8.5270033977,-9.4975840568,-0.9705806591
236,8.5314148552,-9.5019955804,-0.9705807252
237,8.5358287626,-9.5064095529,-0.9705807903
238,8.5402445622,-9.5108254164,-0.9705808542
239,8.5446617187,-9.5152426356,-0.9705809169
240,8.5490797204,-9.5196606989,-0.9705809784
241,8.5534980805,-9.5240791191,-0.9705810386
242,8.5579163376,-9.5284974350,-0.9705810974
243,8.5623340576,-9.5329152123,-0.9705811547
244,8.5667508340,-9.5373320446,-0.9705812105
245,8.5711662900,-9.5417475547,-0.9705812647
246,8.5755800788,-9.5461613959,-0.9705813172
247,8.5799918853,-9.5505732532,-0.9705813679
248,8.5844014273,-9.5549828441,-0.9705814168
249,8.5888084566,-9.5593899203,-0.9705814637
250,8.5932127600,-9.5637942687,-0.9705815087
251,8.5976141613,-9.5681957128,-0.9705815515
252,8.6020125215,-9.5725941137,-0.9705815922
253,8.6064077413,-9.5769893720,-0.9705816306
254,8.6107997614,-9.5813814281,-0.9705816667
255,8.6151885643,-9.5857702647,-0.9705817004
256,8.6195741755,-9.5901559071,-0.9705817315
257,8.6239566651,-9.5945384252,-0.9705817601
258,8.6283361488,-9.5989179347,-0.9705817859
259,8.6327127894,-9.6032945984,-0.9705818089
260,8.6370867985,-9.6076686276,-0.9705818291
261,8.6414584374,-9.6120402837,-0.9705818463
262,8.6458280189,-9.6164098793,-0.9705818604
263,8.6501959087,-9.6207777800,-0.9705818713
264,8.6545625268,-9.6251444057,-0.9705818789
265,8.6589283489,-9.6295102321,-0.9705818832
266,8.6632939079,-9.6338757919,-0.9705818840
267,8.6676597958,-9.6382416770,-0.9705818812
268,8.6720266646,-9.6426085393,-0.9705818747
269,8.6763952282,-9.6469770926,-0.9705818644
270,8.6807662640,-9.6513481142,-0.9705818502
271,8.6851406143,-9.6557224463,-0.9705818319
272,8.6895191880,-9.6601009976,-0.9705818096
273,8.6939029619,-9.6644847449,-0.9705817830
274,8.6982929828,-9.6688747349,-0.9705817521
275,8.7026903688,-9.6732720855,-0.9705817167
276,8.7070963108,-9.6776779875,-0.9705816767
277,8.7115120745,-9.6820937065,-0.9705816320
278,8.7159390016,-9.6865205841,-0.9705815825
279,8.7203785119,-9.6909600399,-0.9705815280
280,8.7248321044,-9.6954135729,-0.9705814685
281,8.7293013596,-9.6998827634,-0.9705814038
282,8.7337879404,-9.7043692743,-0.9705813339
283,8.7382935942,-9.7088748527,-0.9705812585
284,8.7428201544,-9.7134013319,-0.9705811776
285,8.7473695418,-9.7179506328,-0.9705810910
286,8.7519437664,-9.7225247651,-0.9705809987
287,8.7565449288,-9.7271258293,-0.9705809005
288,8.7611752217,-9.7317560180,-0.9705807963
289,8.7658369313,-9.7364176173,-0.9705806860
290,8.7705324388,-9.7411130028,-0.9705805640
