step,K,U,E
269,2056.1748819710,-4.7715185359,2051.4033634350
270,2056.1772637444,-4.7739003784,2051.4033633660
271,2056.1796115582,-4.7762482580,2051.4033633002
272,2056.1819249176,-4.7785616796,2051.4033632379
273,2056.1842033884,-4.7808402090,2051.4033631794
274,2056.1864466001,-4.7830834754,2051.4033631247
275,2056.1886542487,-4.7852911746,2051.4033630741
276,2056.1908261003,-4.7874630724,2051.4033630278
277,2056.1929619932,-4.7895990071,2051.4033629861
278,2056.1950618418,-4.7916988928,2051.4033629490
279,2056.1971256392,-4.7937627223,2051.4033629169
280,2056.1991534603,-4.7957905703,2051.4033628900
281,2056.2011454645,-4.7977825962,2051.4033628683
282,2056.2031018991,-4.7997390469,2051.4033628522
283,2056.2050231017,-4.8016602599,2051.4033628418
284,2056.2069095029,-4.8035466657,2051.4033628373
285,2056.2087616296,-4.8053987908,2051.4033628389
286,2056.2105801069,-4.8072172602,2051.4033628467
287,2056.2123656608,-4.8090027998,2051.4033628610
288,2056.2141191206,-4.8107562387,2051.4033628819
289,2056.2158414212,-4.8124785117,2051.4033629095
290,2056.2175336049,-4.8141706609,2051.4033629439
291,2056.2191968232,-4.8158338379,2051.4033629854
292,2056.2208323391,-4.8174693051,2051.4033630340
293,2056.2224415275,-4.8190784377,2051.4033630897
294,2056.2240258775,-4.8206627247,2051.4033631528
295,2056.2255869927,-4.8222237695,2051.4033632232
296,2056.2271265924,-4.8237632914,2051.4033633010
297,2056.2286465117,-4.8252831254,2051.4033633863
298,2056.2301487018,-4.8267852228,2051.4033634790
299,2056.2316352301,-4.8282716510,2051.4033635791
300,2056.2331082793,-4.8297445928,2051.4033636866
301,2056.2345701471,-4.8312063457,2051.4033638014
302,2056.2360232445,-4.8326593211,2051.4033639234
303,2056.2374700949,-4.8341060422,2051.4033640526
304,2056.2389133315,-4.8355491426,2051.4033641888
305,2056.2403556954,-4.8369913636,2051.4033643318
306,2056.2418000329,-4.8384355514,2051.4033644815
307,2056.2432492922,-4.8398846546,2051.4033646376
308,2056.2447065195,-4.8413417197,2051.4033647999
309,2056.2461748556,-4.8428098876,2051.4033649680
310,2056.2476575308,-4.8442923890,2051.4033651417
311,2056.2491578601,-4.8457925394,2051.4033653207
312,2056.2506792381,-4.8473137391,2051.4033654990
313,2056.2522251325,-4.8488594452,2051.4033656873
314,2056.2537990781,-4.8504331985,2051.4033658796
315,2056.2554046697,-4.8520385943,2051.4033660754
316,2056.2570455551,-4.8536792809,2051.4033662742
317,2056.2587254270,-4.8553589515,2051.4033664756
318,2056.2604480148,-4.8570813359,2051.4033666788
319,2056.2622170759,-4.8588501924,2051.4033668835
320,2056.2640363866,-4.8606692978,2051.4033670888
321,2056.2659097327,-4.8625424384,2051.4033672942
322,2056.2678408990,-4.8644734000,2051.4033674990
323,2056.2698336595,-4.8664659570,2051.4033677025
324,2056.2718917665,-4.8685238626,2051.4033679039
325,2056.2740189396,-4.8706508315,2051.4033681080
326,2056.2762188538,-4.8728505507,2051.4033683032
327,2056.2784951288,-4.8751266349,2051.4033684939
328,2056.2808513162,-4.8774826366,2051.4033686796
329,2056.2832908881,-4.8799220288,2051.4033688592
330,2056.2858172242,-4.8824481921,2051.4033690322
331,2056.2884336000,-4.8850644025,2051.4033691975
332,2056.2911431737,-4.8877738193,2051.4033693543
333,2056.2939489739,-4.8905794720,2051.4033695019
334,2056.2968538872,-4.8934842478,2051.4033696394
335,2056.2998606452,-4.8964908793,2051.4033697659
336,2056.3029718125,-4.8996019318,2051.4033698807
337,2056.3061897739,-4.9028197910,2051.4033699828
338,2056.3095167227,-4.9061466511,2051.4033700716
339,2056.3129546487,-4.9095845025,2051.4033701462
340,2056.3165053261,-4.9131351203,2051.4033702059
341,2056.3201703031,-4.9168000532,2051.4033702498
342,2056.3239508899,-4.9205806124,2051.4033702775
343,2056.3278481491,-4.9244778611,2051.4033702880
344,2056.3318628854,-4.9284926045,2051.4033702809
