step,K,U,E
88,0.0071043748,-0.0819665087,-0.0748621338
89,0.0072850198,-0.0821471510,-0.0748621311
90,0.0074687015,-0.0823308299,-0.0748621284
91,0.0076554623,-0.0825175879,-0.0748621256
92,0.0078453461,-0.0827074688,-0.0748621227
93,0.0080383975,-0.0829005172,-0.0748621197
94,0.0082346623,-0.0830967790,-0.0748621167
95,0.0084341876,-0.0832963012,-0.0748621136
96,0.0086370216,-0.0834991320,-0.0748621104
97,0.0088432135,-0.0837053206,-0.0748621071
98,0.0090528139,-0.0839149177,-0.0748621038
99,0.0092658747,-0.0841279750,-0.0748621003
100,0.0094824490,-0.0843445458,-0.0748620968
101,0.0097025912,-0.0845646844,-0.0748620932
102,0.0099263573,-0.0847884468,-0.0748620895
103,0.0101538045,-0.0850158901,-0.0748620857
104,0.0103849914,-0.0852470732,-0.0748620817
105,0.0106199784,-0.0854820561,-0.0748620777
106,0.0108588271,-0.0857209007,-0.0748620736
107,0.0111016009,-0.0859636703,-0.0748620694
108,0.0113483647,-0.0862104298,-0.0748620650
109,0.0115991852,-0.0864612458,-0.0748620606
110,0.0118541308,-0.0867161868,-0.0748620560
111,0.0121132715,-0.0869753228,-0.0748620513
112,0.0123766794,-0.0872387259,-0.0748620465
113,0.0126444284,-0.0875064699,-0.0748620415
114,0.0129165942,-0.0877786307,-0.0748620365
115,0.0131932547,-0.0880552860,-0.0748620312
116,0.0134744899,-0.0883365157,-0.0748620259
117,0.0137603817,-0.0886224020,-0.0748620203
118,0.0140510143,-0.0889130290,-0.0748620147
119,0.0143464744,-0.0892084832,-0.0748620088
120,0.0146468507,-0.0895088535,-0.0748620029
121,0.0149522345,-0.0898142312,-0.0748619967
122,0.0152627196,-0.0901247100,-0.0748619904
123,0.0155784023,-0.0904403862,-0.0748619839
124,0.0158993817,-0.0907613589,-0.0748619772
125,0.0162257596,-0.0910877299,-0.0748619703
126,0.0165576405,-0.0914196037,-0.0748619632
127,0.0168951319,-0.0917570878,-0.0748619559
128,0.0172383445,-0.0921002929,-0.0748619484
129,0.0175873920,-0.0924493327,-0.0748619407
130,0.0179423914,-0.0928043241,-0.0748619327
131,0.0183034629,-0.0931653874,-0.0748619246
132,0.0186707303,-0.0935326465,-0.0748619161
133,0.0190443211,-0.0939062286,-0.0748619075
134,0.0194243664,-0.0942862649,-0.0748618985
135,0.0198110010,-0.0946728903,-0.0748618893
136,0.0202043639,-0.0950662438,-0.0748618799
137,0.0206045983,-0.0954664684,-0.0748618701
138,0.0210118513,-0.0958737113,-0.0748618600
139,0.0214262749,-0.0962881245,-0.0748618496
140,0.0218480253,-0.0967098642,-0.0748618389
141,0.0222772636,-0.0971390915,-0.0748618279
142,0.0227141560,-0.0975759725,-0.0748618165
143,0.0231588736,-0.0980206783,-0.0748618047
144,0.0236115928,-0.0984733854,-0.0748617926
145,0.0240724957,-0.0989342758,-0.0748617801
146,0.0245417699,-0.0994035371,-0.0748617672
147,0.0250196092,-0.0998813631,-0.0748617539
148,0.0255062133,-0.1003679534,-0.0748617401
149,0.0260017884,-0.1008635143,-0.0748617259
150,0.0265065475,-0.1013682587,-0.0748617112
151,0.0270207103,-0.1018824063,-0.0748616960
152,0.0275445038,-0.1024061841,-0.0748616803
153,0.0280781625,-0.1029398266,-0.0748616641
154,0.0286219286,-0.1034835759,-0.0748616473
155,0.0291760525,-0.1040376825,-0.0748616299
156,0.0297407930,-0.1046024050,-0.0748616120
157,0.0303164175,-0.1051780109,-0.0748615934
158,0.0309032029,-0.1057647770,-0.0748615742
159,0.0315014352,-0.1063629895,-0.0748615543
160,0.0321114106,-0.1069729443,-0.0748615337
161,0.0327334356,-0.1075949479,-0.0748615123
162,0.0333678274,-0.1082293176,-0.0748614902
163,0.0340149145,-0.1088763818,-0.0748614673
164,0.0346750372,-0.1095364807,-0.0748614435
165,0.0353485479,-0.1102099668,-0.0748614189
166,0.0360358120,-0.1108972053,-0.0748613933
167,0.0367372080,-0.1115985748,-0.0748613668
168,0.0374531285,-0.1123144678,-0.0748613393
169,0.0381839808,-0.1130452916,-0.0748613108
170,0.0389301873,-0.1137914684,-0.0748612811
171,0.0396921864,-0.1145534367,-0.0748612503
172,0.0404704332,-0.1153316515,-0.0748612183
173,0.0412654003,-0.1161265853,-0.0748611850
174,0.0420775785,-0.1169387290,-0.0748611505
175,0.0429074780,-0.1177685925,-0.0748611145
176,0.0437556289,-0.1186167060,-0.0748610771
177,0.0446225824,-0.1194836206,-0.0748610382
178,0.0455089118,-0.1203699095,-0.0748609976
179,0.0464152137,-0.1212761692,-0.0748609554
180,0.0473421089,-0.1222030204,-0.0748609115
181,0.0482902437,-0.1231511094,-0.0748608657
182,0.0492602915,-0.1241211094,-0.0748608179
183,0.0502529536,-0.1251137218,-0.0748607681
184,0.0512689613,-0.1261296775,-0.0748607162
185,0.0523090769,-0.1271697388,-0.0748606619
186,0.0533740955,-0.1282347008,-0.0748606053
187,0.0544648470,-0.1293253932,-0.0748605462
188,0.0555821977,-0.1304426821,-0.0748604844
189,0.0567270522,-0.1315874721,-0.0748604198
190,0.0579003558,-0.1327607081,-0.0748603523
191,0.0591030963,-0.1339633779,-0.0748602816
192,0.0603363068,-0.1351965144,-0.0748602077
193,0.0616010680,-0.1364611982,-0.0748601302
194,0.0628985110,-0.1377585601,-0.0748600491
195,0.0642298201,-0.1390897842,-0.0748599641
196,0.0655962360,-0.1404561109,-0.0748598749
197,0.0669990590,-0.1418588404,-0.0748597814
198,0.0684396525,-0.1432993357,-0.0748596832
199,0.0699194469,-0.1447790271,-0.0748595802
200,0.0714399436,-0.1462994154,-0.0748594719
201,0.0730027192,-0.1478620772,-0.0748593580
202,0.0746094303,-0.1494686686,-0.0748592383
203,0.0762618186,-0.1511209309,-0.0748591123
204,0.0779617159,-0.1528206955,-0.0748589796
205,0.0797110501,-0.1545698900,-0.0748588398
206,0.0815118516,-0.1563705441,-0.0748586925
207,0.0833662593,-0.1582247965,-0.0748585371
208,0.0852765288,-0.1601349019,-0.0748583731
209,0.0872450391,-0.1621032390,-0.0748581999
210,0.0892743018,-0.1641323187,-0.0748580169
211,0.0913669696,-0.1662247930,-0.0748578234
212,0.0935258466,-0.1683834652,-0.0748576186
213,0.0957538983,-0.1706113001,-0.0748574018
214,0.0980542637,-0.1729114358,-0.0748571721
215,0.1004302671,-0.1752871956,-0.0748569285
216,0.1028854322,-0.1777421023,-0.0748566701
217,0.1054234964,-0.1802798920,-0.0748563956
218,0.1080484269,-0.1829045309,-0.0748561040
219,0.1107644381,-0.1856202319,-0.0748557938
220,0.1135760104,-0.1884314741,-0.0748554637
221,0.1164879112,-0.1913430232,-0.0748551120
222,0.1195052171,-0.1943599542,-0.0748547370
223,0.1226333389,-0.1974876758,-0.0748543369
224,0.1258780482,-0.2007319577,-0.0748539095
225,0.1292455077,-0.2040989604,-0.0748534527
226,0.1327423032,-0.2075952671,-0.0748529639
