step,K,U,E
251,0.0223949599,-0.0598257732,-0.0374308133
252,0.0227086256,-0.0601394317,-0.0374308061
253,0.0230272685,-0.0604580672,-0.0374307987
254,0.0233509974,-0.0607817885,-0.0374307911
255,0.0236799239,-0.0611107072,-0.0374307833
256,0.0240141631,-0.0614449383,-0.0374307752
257,0.0243538334,-0.0617846003,-0.0374307669
258,0.0246990566,-0.0621298150,-0.0374307584
259,0.0250499583,-0.0624807078,-0.0374307496
260,0.0254066675,-0.0628374080,-0.0374307405
261,0.0257693173,-0.0632000485,-0.0374307312
262,0.0261380449,-0.0635687665,-0.0374307215
263,0.0265129915,-0.0639437031,-0.0374307116
264,0.0268943026,-0.0643250040,-0.0374307014
265,0.0272821283,-0.0647128191,-0.0374306908
266,0.0276766232,-0.0651073031,-0.0374306799
267,0.0280779469,-0.0655086156,-0.0374306687
268,0.0284862638,-0.0659169209,-0.0374306571
269,0.0289017438,-0.0663323889,-0.0374306451
270,0.0293245618,-0.0667551945,-0.0374306327
271,0.0297548986,-0.0671855186,-0.0374306200
272,0.0301929408,-0.0676235476,-0.0374306068
273,0.0306388811,-0.0680694743,-0.0374305932
274,0.0310929183,-0.0685234974,-0.0374305791
275,0.0315552580,-0.0689858225,-0.0374305645
276,0.0320261124,-0.0694566619,-0.0374305495
277,0.0325057011,-0.0699362350,-0.0374305340
278,0.0329942507,-0.0704247686,-0.0374305179
279,0.0334919960,-0.0709224972,-0.0374305012
280,0.0339991793,-0.0714296633,-0.0374304840
281,0.0345160516,-0.0719465178,-0.0374304662
282,0.0350428725,-0.0724733202,-0.0374304477
283,0.0355799107,-0.0730103393,-0.0374304286
284,0.0361274444,-0.0735578532,-0.0374304088
285,0.0366857616,-0.0741161499,-0.0374303883
286,0.0372551608,-0.0746855278,-0.0374303670
287,0.0378359509,-0.0752662959,-0.0374303450
288,0.0384284524,-0.0758587746,-0.0374303222
289,0.0390329974,-0.0764632959,-0.0374302984
290,0.0396499303,-0.0770802042,-0.0374302738
291,0.0402796083,-0.0777098567,-0.0374302483
292,0.0409224020,-0.0783526239,-0.0374302218
293,0.0415786961,-0.0790088904,-0.0374301943
294,0.0422488899,-0.0796790556,-0.0374301657
295,0.0429333981,-0.0803635341,-0.0374301360
296,0.0436326516,-0.0810627567,-0.0374301051
297,0.0443470978,-0.0817771708,-0.0374300730
298,0.0450772023,-0.0825072419,-0.0374300396
299,0.0458234489,-0.0832534537,-0.0374300049
300,0.0465863408,-0.0840163095,-0.0374299687
301,0.0473664016,-0.0847963327,-0.0374299310
302,0.0481641766,-0.0855940684,-0.0374298918
303,0.0489802331,-0.0864100841,-0.0374298510
304,0.0498151624,-0.0872449708,-0.0374298084
305,0.0506695804,-0.0880993444,-0.0374297640
306,0.0515441291,-0.0889738468,-0.0374297177
307,0.0524394780,-0.0898691474,-0.0374296693
308,0.0533563255,-0.0907859444,-0.0374296189
309,0.0542954002,-0.0917249664,-0.0374295662
310,0.0552574630,-0.0926869742,-0.0374295112
311,0.0562433084,-0.0936727621,-0.0374294537
312,0.0572537665,-0.0946831600,-0.0374293936
313,0.0582897049,-0.0957190356,-0.0374293307
314,0.0593520308,-0.0967812957,-0.0374292649
315,0.0604416935,-0.0978708895,-0.0374291960
316,0.0615596861,-0.0989888100,-0.0374291239
317,0.0627070486,-0.1001360969,-0.0374290483
318,0.0638848705,-0.1013138396,-0.0374289691
319,0.0650942933,-0.1025231794,-0.0374288860
320,0.0663365142,-0.1037653131,-0.0374287989
321,0.0676127888,-0.1050414961,-0.0374287073
322,0.0689244348,-0.1063530460,-0.0374286112
323,0.0702728360,-0.1077013463,-0.0374285103
324,0.0716594461,-0.1090878502,-0.0374284041
325,0.0730857929,-0.1105140854,-0.0374282924
326,0.0745534834,-0.1119816583,-0.0374281749
327,0.0760642084,-0.1134922595,-0.0374280512
328,0.0776197477,-0.1150476685,-0.0374279208
329,0.0792219766,-0.1166497599,-0.0374277833
330,0.0808728711,-0.1183005095,-0.0374276383
331,0.0825745157,-0.1200020010,-0.0374274853
332,0.0843291094,-0.1217564332,-0.0374273237
333,0.0861389745,-0.1235661275,-0.0374271530
334,0.0880065644,-0.1254335368,-0.0374269724
335,0.0899344728,-0.1273612542,-0.0374267814
336,0.0919254435,-0.1293520226,-0.0374265792
337,0.0939823810,-0.1314087459,-0.0374263649
338,0.0961083622,-0.1335345000,-0.0374261378
339,0.0983066484,-0.1357325452,-0.0374258968
340,0.1005806991,-0.1380063401,-0.0374256409
341,0.1029341868,-0.1403595559,-0.0374253691
342,0.1053710125,-0.1427960926,-0.0374250801
343,0.1078953236,-0.1453200962,-0.0374247726
344,0.1105115323,-0.1479359775,-0.0374244452
345,0.1132243367,-0.1506484329,-0.0374240963
346,0.1160387426,-0.1534624668,-0.0374237241
347,0.1189600890,-0.1563834159,-0.0374233269
348,0.1219940739,-0.1594169765,-0.0374229026
349,0.1251467844,-0.1625692332,-0.0374224489
350,0.1284247286,-0.1658466919,-0.0374219633
351,0.1318348710,-0.1692563142,-0.0374214433
352,0.1353846709,-0.1728055566,-0.0374208857
353,0.1390821254,-0.1765024129,-0.0374202875
354,0.1429358159,-0.1803554608,-0.0374196449
355,0.1469549596,-0.1843739137,-0.0374189541
356,0.1511494664,-0.1885676770,-0.0374182107
357,0.1555300012,-0.1929474110,-0.0374174099
358,0.1601080535,-0.1975245998,-0.0374165464
359,0.1648960134,-0.2023116277,-0.0374156143
360,0.1699072562,-0.2073218635,-0.0374146073
361,0.1751562359,-0.2125697540,-0.0374135181
362,0.1806585888,-0.2180709276,-0.0374123388
363,0.1864312484,-0.2238423090,-0.0374110606
364,0.1924925727,-0.2299022465,-0.0374096738
365,0.1988624857,-0.2362706532,-0.0374081675
366,0.2055626341,-0.2429691640,-0.0374065299
