step,K,U,E
192,0.0002992476,-0.0751614702,-0.0748622226
193,0.0003023729,-0.0751645954,-0.0748622226
194,0.0003055146,-0.0751677371,-0.0748622226
195,0.0003086728,-0.0751708953,-0.0748622226
196,0.0003118474,-0.0751740700,-0.0748622226
197,0.0003150386,-0.0751772612,-0.0748622226
198,0.0003182464,-0.0751804689,-0.0748622226
199,0.0003214706,-0.0751836931,-0.0748622226
200,0.0003247113,-0.0751869339,-0.0748622226
201,0.0003279686,-0.0751901911,-0.0748622226
202,0.0003312424,-0.0751934649,-0.0748622226
203,0.0003345327,-0.0751967553,-0.0748622225
204,0.0003378396,-0.0752000621,-0.0748622225
205,0.0003411630,-0.0752033856,-0.0748622225
206,0.0003445030,-0.0752067255,-0.0748622225
207,0.0003478595,-0.0752100821,-0.0748622225
208,0.0003512326,-0.0752134552,-0.0748622225
209,0.0003546223,-0.0752168448,-0.0748622225
210,0.0003580285,-0.0752202511,-0.0748622225
211,0.0003614513,-0.0752236739,-0.0748622225
212,0.0003648908,-0.0752271133,-0.0748622225
213,0.0003683468,-0.0752305693,-0.0748622225
214,0.0003718194,-0.0752340419,-0.0748622225
215,0.0003753086,-0.0752375311,-0.0748622225
216,0.0003788144,-0.0752410369,-0.0748622225
217,0.0003823368,-0.0752445594,-0.0748622225
218,0.0003858759,-0.0752480984,-0.0748622225
219,0.0003894316,-0.0752516541,-0.0748622225
220,0.0003930039,-0.0752552264,-0.0748622225
221,0.0003965928,-0.0752588154,-0.0748622225
222,0.0004001984,-0.0752624210,-0.0748622225
223,0.0004038207,-0.0752660432,-0.0748622225
224,0.0004074596,-0.0752696822,-0.0748622225
225,0.0004111152,-0.0752733377,-0.0748622225
226,0.0004147874,-0.0752770100,-0.0748622225
227,0.0004184764,-0.0752806989,-0.0748622225
228,0.0004221820,-0.0752844045,-0.0748622225
229,0.0004259043,-0.0752881268,-0.0748622225
230,0.0004296433,-0.0752918658,-0.0748622225
231,0.0004333990,-0.0752956215,-0.0748622225
232,0.0004371714,-0.0752993939,-0.0748622225
233,0.0004409605,-0.0753031830,-0.0748622225
234,0.0004447663,-0.0753069889,-0.0748622225
235,0.0004485889,-0.0753108114,-0.0748622225
236,0.0004524282,-0.0753146507,-0.0748622225
237,0.0004562842,-0.0753185068,-0.0748622225
238,0.0004601570,-0.0753223796,-0.0748622225
239,0.0004640466,-0.0753262691,-0.0748622225
240,0.0004679529,-0.0753301754,-0.0748622225
241,0.0004718759,-0.0753340985,-0.0748622225
242,0.0004758158,-0.0753380383,-0.0748622225
243,0.0004797724,-0.0753419949,-0.0748622225
244,0.0004837458,-0.0753459683,-0.0748622225
245,0.0004877360,-0.0753499585,-0.0748622225
246,0.0004917430,-0.0753539655,-0.0748622225
247,0.0004957668,-0.0753579893,-0.0748622225
248,0.0004998074,-0.0753620299,-0.0748622225
249,0.0005038648,-0.0753660874,-0.0748622225
250,0.0005079391,-0.0753701616,-0.0748622225
251,0.0005120302,-0.0753742527,-0.0748622225
252,0.0005161382,-0.0753783607,-0.0748622225
253,0.0005202629,-0.0753824855,-0.0748622225
254,0.0005244046,-0.0753866271,-0.0748622225
255,0.0005285631,-0.0753907856,-0.0748622225
256,0.0005327385,-0.0753949610,-0.0748622225
257,0.0005369307,-0.0753991532,-0.0748622225
258,0.0005411399,-0.0754033624,-0.0748622225
259,0.0005453659,-0.0754075884,-0.0748622225
260,0.0005496088,-0.0754118313,-0.0748622225
261,0.0005538686,-0.0754160912,-0.0748622225
262,0.0005581454,-0.0754203679,-0.0748622225
263,0.0005624390,-0.0754246616,-0.0748622225
264,0.0005667496,-0.0754289721,-0.0748622225
265,0.0005710771,-0.0754332997,-0.0748622225
266,0.0005754216,-0.0754376441,-0.0748622225
267,0.0005797830,-0.0754420055,-0.0748622225
268,0.0005841614,-0.0754463839,-0.0748622225
269,0.0005885567,-0.0754507792,-0.0748622225
270,0.0005929690,-0.0754551915,-0.0748622225
271,0.0005973983,-0.0754596208,-0.0748622225
272,0.0006018445,-0.0754640670,-0.0748622225
273,0.0006063078,-0.0754685303,-0.0748622225
274,0.0006107880,-0.0754730106,-0.0748622225
275,0.0006152853,-0.0754775078,-0.0748622225
276,0.0006197996,-0.0754820221,-0.0748622225
277,0.0006243309,-0.0754865534,-0.0748622225
278,0.0006288792,-0.0754911017,-0.0748622225
279,0.0006334446,-0.0754956671,-0.0748622225
280,0.0006380270,-0.0755002495,-0.0748622225
281,0.0006426265,-0.0755048490,-0.0748622225
